admin_level_full,admin_level_max,country_iso3,version
2,,AFG,
3,,AGO,
1,,ARE,
2,,ARM,
1,,AZE,
2,,BDI,
2,,BEN,
3,,BFA,
3,,BGD,
2,,BGR,
2,,BLR,
1,,BLZ,
3,,BOL,
2,,BTN,
3,4,CAF,
3,,CHL,
3,,CIV,
3,,CMR,
2,3,COD,
2,,COG,
2,3,COL,
3,,COM,
2,,CPV,
3,,CRI,
4,,DOM,
2,,DZA,
3,,ECU,
2,3,EGY,
2,,ERI,
1,,ESH,
3,,ETH,
1,2,GEO,
2,,GHA,
3,,GIN,
3,,GMB,
2,,GNB,
2,,GNQ,
1,,GRD,
2,,GTM,
2,,HND,
3,,HTI,
2,,HUN,
3,4,IDN,
2,,IRN,
3,,IRQ,
3,,JAM,
2,,KEN,
2,3,KGZ,
3,,KHM,
1,,KWT,
2,,LAO,
3,,LBN,
2,,LBR,
2,,LBY,
4,,LKA,
0,,MAF,
2,,MAR,
1,,MDA,
2,,MDV,
2,,MEX,
3,,MLI,
3,5,MMR,
2,,MNG,
3,,MOZ,
2,,MRT,
3,,MWI,
2,,MYS,
2,,NAM,
3,,NER,
2,3,NGA,
2,,NIC,
3,,NPL,
2,,OMN,
3,,PAK,
3,,PAN,
3,,PER,
4,,PHL,
3,,PNG,
2,,POL,
2,,PRK,
2,,PSE,
3,,QAT,
2,,ROU,
1,,SAU,
2,,SDN,
3,,SEN,
3,,SLV,
2,,SOM,
3,,SSD,
2,,SVK,
1,,SXM,
2,,TCD,
3,,TGO,
3,,THA,
3,,TLS,
2,,TUR,
3,4,UKR,
1,,VCT,
2,,VNM,
2,,VUT,
2,,YEM,
4,,ZAF,
4,,ZMB,
3,,ZWE,
